Name,Date,habitat,country,locality,site,strata,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label,Annotator,Date annotated,Machine suggestion 1,Machine confidence 1,Machine suggestion 2,Machine confidence 2,Machine suggestion 3,Machine confidence 3,Machine suggestion 4,Machine confidence 4,Machine suggestion 5,Machine confidence 5
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,83,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAEN,1,MAF,0,CNTR,0,Unc,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,252,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAF,0,CNTR,0,MAEN,0,Unc,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,421,SC,robot,2020-07-08 00:34:48+00:00,SC,99,Unc,1,MAF,0,MAEN,0,CNTR,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,590,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAEN,1,MAF,0,Unc,0,CNTR,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,759,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAEN,1,MAF,0,Unc,0,CNTR,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,928,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAF,0,Unc,0,CNTR,0,MAEN,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,1097,SC,robot,2020-07-08 00:34:48+00:00,SC,97,MAEN,2,MAF,0,Unc,0,CNTR,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,1266,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAEN,1,MAF,0,Unc,0,CNTR,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,1435,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAF,0,Unc,0,CNTR,0,MAEN,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,83,1604,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAEN,1,MAF,0,CNTR,0,Unc,0
EC_SX_CD_HT_20190327_Q01.jpg,2019-03-27,Rocky shore,ECUADOR,SANTA CRUZ,CHARLES DARWIN FOUNDATION,HIGHTIDE,,,,,CANON S120,,,,50 x 50,,,250,83,SC,robot,2020-07-08 00:34:48+00:00,SC,99,MAF,0,Unc,0,CNTR,0,MAEN,0
