Name,Annotation status,Annotation area,shore,country,locality ,site,strata,CIRRIPEDIO.A,MEJI.A,TUBO.A,aBareRock.A,COC.A,ENTEROMORP.A,FILA.A,ULVA.A,U.pinnatif.A,CIRRIPEDIO,DATIL,MEJI,P.imperfec,SPONGE1,TUBO,SAND,aBareRock,SHELLS,BRYOPSIS,CCA,CERAMIUM,CHAETOMORP,Cldph,COC,CODIUM,ColSin,DICTYOTA,ENTEROMORP,FILA,LEATHESIA,POLYSIPHON,RALFSIA,Scyto,ULVA,U.pinnatif
AR_PM_PC_HT_20181105_Q01_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,0,0,79,0,21,0,0,0,0,0,1,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q02_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,0,0,48,0,52,0,0,0,2,0,2,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q03_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,0,0,34,0,66,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q04_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,0,0,19,0,81,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q05_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,0,0,18,0,82,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q06_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,4,0,56,0,40,0,0,0,0,0,10,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q07_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,8,0,54,0,38,0,0,0,0,0,15,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q08_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,1,0,63,0,33,0,3,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,2,0
AR_PM_PC_HT_20181105_Q09_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,0,0,36,0,64,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
AR_PM_PC_HT_20181105_Q10_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,HIGHTIDE,0,1,0,38,0,59,1,1,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0
AR_PM_PC_LT_20181105_Q01_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,0,0,0,41,24,0,16,19,0,0,0,0,0,0,2,0,30,0,0,2,0,0,1,43,0,0,0,0,0,0,8,0,0,14,0
AR_PM_PC_LT_20181105_Q02_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,0,0,9,41,7,0,7,36,0,0,0,0,0,0,8,0,71,0,0,0,0,0,1,5,0,0,0,3,0,0,2,0,1,9,0
AR_PM_PC_LT_20181105_Q03_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,0,0,0,32,41,1,7,19,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,22,0,0,0,0,0,0,2,0,2,12,0
AR_PM_PC_LT_20181105_Q04_Auto.jpg,Confirmed,X: 0 - 100% / Y: 0 - 100%,Rocky shore,ARGENTINA,PUERTO MADRYN,PUNTA CUEVAS,LOWTIDE,0,0,4,42,11,0,9,34,0,0,0,0,0,1,18,0,58,0,0,0,0,0,0,21,0,0,0,0,0,0,2,0,0,0,0
