Name,Row,Column,Label,Annotator,Date annotated
AR_PM_PC_HT_20181105_Q01_Random.jpg,170,559,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,419,359,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,581,719,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,59,611,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,395,1699,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,381,1248,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,2,1379,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,207,1220,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,412,1563,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,494,2119,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,179,1780,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,457,1773,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,266,1816,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,228,1806,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,498,2040,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,392,2618,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,72,2761,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,247,2319,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,533,2647,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,450,2630,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,724,256,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,640,546,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,1054,276,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,587,546,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,1139,54,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,706,560,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,922,1017,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,999,762,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,668,971,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,1168,1630,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,756,1179,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,759,1687,SC,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,711,1714,MAF,Imported,2020-06-25 16:52:04+00:00
AR_PM_PC_HT_20181105_Q01_Random.jpg,747,1336,SC,Imported,2020-06-25 16:52:04+00:00
